時間,ICE-Newcastle煤 (L),時間,ICE-Rotterdam煤 (L),時間,中國-動力煤期貨 (R),時間,中國-焦煤期貨 (R)
2015-06-01,57.2000,2015-06-01,57.6500,2015-06-01,428.0000,2015-06-01,693.0000
2015-06-02,57.7500,2015-06-02,58.2000,2015-06-02,427.0000,2015-06-02,694.0000
2015-06-03,57.9500,2015-06-03,57.4000,2015-06-03,426.8000,2015-06-03,688.0000
2015-06-04,58.0500,2015-06-04,56.9000,2015-06-04,425.6000,2015-06-04,692.0000
2015-06-05,58.1000,2015-06-05,56.8000,2015-06-05,418.8000,2015-06-05,682.0000
2015-06-08,58.1000,2015-06-08,56.8000,2015-06-08,416.0000,2015-06-08,684.0000
2015-06-09,58.3500,2015-06-09,56.7500,2015-06-09,416.8000,2015-06-09,683.0000
2015-06-10,59.5000,2015-06-10,56.8000,2015-06-10,419.6000,2015-06-10,696.0000
2015-06-11,60.4000,2015-06-11,57.3000,2015-06-11,418.0000,2015-06-11,691.0000
2015-06-12,60.0000,2015-06-12,57.7500,2015-06-12,413.6000,2015-06-12,688.0000
2015-06-15,60.3000,2015-06-15,57.9000,2015-06-15,413.8000,2015-06-15,689.0000
2015-06-16,60.4000,2015-06-16,57.8500,2015-06-16,412.2000,2015-06-16,689.0000
2015-06-17,60.4000,2015-06-17,58.0000,2015-06-17,411.0000,2015-06-17,675.0000
2015-06-18,60.1500,2015-06-18,58.0000,2015-06-18,411.4000,2015-06-18,672.0000
2015-06-19,60.2000,2015-06-19,58.0000,2015-06-19,411.8000,2015-06-19,679.0000
2015-06-22,60.2000,2015-06-22,58.3000,2015-06-24,408.4000,2015-06-24,681.0000
2015-06-23,60.2000,2015-06-23,58.1500,2015-06-25,408.0000,2015-06-25,674.0000
2015-06-24,60.2000,2015-06-24,58.1000,2015-06-26,406.0000,2015-06-26,673.0000
2015-06-25,60.1500,2015-06-25,58.2000,2015-06-29,405.6000,2015-06-29,674.0000
2015-06-26,60.2000,2015-06-26,58.2000,2015-06-30,408.4000,2015-06-30,677.0000
2015-06-29,60.4500,2015-06-29,59.1000,2015-07-01,405.0000,2015-07-01,683.0000
2015-06-30,60.8000,2015-06-30,60.2000,2015-07-02,405.8000,2015-07-02,686.0000
2015-07-01,60.5500,2015-07-01,59.7500,2015-07-03,404.8000,2015-07-03,674.0000
2015-07-02,60.4000,2015-07-02,59.5000,2015-07-06,395.8000,2015-07-06,653.0000
2015-07-03,60.1500,2015-07-03,58.9500,2015-07-07,389.0000,2015-07-07,639.0000
2015-07-06,60.0500,2015-07-06,58.5000,2015-07-08,375.8000,2015-07-08,621.0000
2015-07-07,59.4500,2015-07-07,58.1500,2015-07-09,378.6000,2015-07-09,642.0000
2015-07-08,59.7500,2015-07-08,58.3500,2015-07-10,379.2000,2015-07-10,630.0000
2015-07-09,60.0500,2015-07-09,58.5000,2015-07-13,378.0000,2015-07-13,627.0000
2015-07-10,60.3000,2015-07-10,58.7500,2015-07-14,378.4000,2015-07-14,613.0000
2015-07-13,60.3500,2015-07-13,58.5500,2015-07-15,380.0000,2015-07-15,624.0000
2015-07-14,60.3500,2015-07-14,58.5500,2015-07-16,378.8000,2015-07-16,621.0000
2015-07-15,60.5000,2015-07-15,58.3500,2015-07-17,378.4000,2015-07-17,621.0000
2015-07-16,60.4500,2015-07-16,58.3500,2015-07-20,381.8000,2015-07-20,629.0000
2015-07-17,60.3000,2015-07-17,58.4000,2015-07-21,378.2000,2015-07-21,620.0000
2015-07-20,60.5500,2015-07-20,58.5500,2015-07-22,391.0000,2015-07-22,611.0000
2015-07-21,60.4500,2015-07-21,58.6000,2015-07-23,393.2000,2015-07-23,614.0000
2015-07-22,60.4500,2015-07-22,58.6000,2015-07-24,388.6000,2015-07-24,611.0000
2015-07-23,60.3500,2015-07-23,58.5000,2015-07-27,390.8000,2015-07-27,611.0000
2015-07-24,60.4000,2015-07-24,58.5500,2015-07-28,385.0000,2015-07-28,609.0000
2015-07-27,60.3500,2015-07-27,58.5500,2015-07-29,387.2000,2015-07-29,622.0000
2015-07-28,60.2500,2015-07-28,58.4500,2015-07-30,386.0000,2015-07-30,609.0000
2015-07-29,60.2500,2015-07-29,58.4500,2015-07-31,387.0000,2015-07-31,614.0000
2015-07-30,60.2500,2015-07-30,58.4500,2015-08-03,384.8000,2015-08-03,610.0000
2015-07-31,60.3000,2015-07-31,58.4500,2015-08-04,386.8000,2015-08-04,616.0000
2015-08-03,58.6000,2015-08-03,56.4000,2015-08-05,385.8000,2015-08-05,615.0000
2015-08-04,59.1500,2015-08-04,57.0500,2015-08-06,382.4000,2015-08-06,615.0000
2015-08-05,59.9500,2015-08-05,57.5000,2015-08-07,382.8000,2015-08-07,616.0000
2015-08-06,60.3500,2015-08-06,57.8500,2015-08-10,380.4000,2015-08-10,592.0000
